timestamp_utc,coin,side,price,qty,notional_usdt,size_pct,stage,planned_R,stated_p,realized_R,outcome,notes
2026-08-12T07:17:14Z,TRX,BUY,0.3361,1487.65,500.00,5.0,stage1_half,2.15,0.42,,open,"First confirmed entry of paper phase. Confluence 7/10, 2nd consecutive >=7/10 checkpoint (PM 08-11 8/10 armed -> AM 08-12 7/10 confirmed). Tier C (R=2.15, p=0.42, EV=+1.74%). Staged half of 10% target size at $500 notional; second half opens only if confluence holds >=7/10 at next checkpoint (PM 08-12)."
2026-08-12T19:06:31Z,TRX,BUY,0.3358,1488.98,500.00,5.0,stage2_half,2.15,0.42,,open,"Stage-2 add. Confluence held 7/10 at PM 08-12 (second consecutive checkpoint since AM 08-12 half-open) -- per Section 5 step 9, second half opens at full target size. Position now 2976.63 TRX, avg entry $0.33595, 10.0% of portfolio ($999.55 of $9999.55)."
2026-08-16T07:10:00Z,TRX,SELL,0.3311,1488.3157,492.78,4.93,trim_half,2.15,0.42,-0.27,partial_close,"Half-trim, not a full exit. Conviction downgraded Intact->Weakening: 7d OI printed -0.4% this checkpoint, the first negative reading of the hold, completing the deceleration the PM 08-14 and PM 08-15 red-team passes explicitly flagged as the trim trigger (7d OI: +19.0% -> +15.6% -> +8.8% -> +7.2% -> +0.7% -> -0.4%) -- the entry thesis's OI-confirmation leg has now failed, not just cooled. p7_oi overridden Neutral->Bearish on this reading (1/10 Bearish total, mechanical exit gate of >=4/10 for 2 checkpoints not met). Per Section 5 step 4, Weakening conviction -> trim half; remaining half flagged for confirmation next checkpoint. Realized P&L -$7.22 on the trimmed half (cost basis $500.00 vs proceeds $492.78, -1.44% on the half); realized R -0.27 vs planned R 2.15 on this tranche ((exit-entry)/(entry-invalidation)). Remaining 1488.3158 TRX (avg entry $0.33595) stays open at ~4.93% of portfolio; invalidation $0.318 and thesis otherwise unchanged."
2026-08-18T19:05:57Z,CAKE,BUY,1.504,332.0878,499.46,5.0,stage1_half,2.16,0.48,,open,"First entry of paper phase's second confirmed candidate wave. Confluence 8/10 Bullish (0/10 Bearish mechanically, 1/10 Bearish incl. contrarian-Bearish sentiment), 2nd consecutive >=7/10 checkpoint (AM 08-18 8/10 armed -> PM 08-18 8/10 confirmed). Tier C (R=2.16, p=0.48, EV=+3.91%). Staged half of 10% target size at $499.46 notional; second half opens only if confluence holds >=7/10 at next checkpoint (AM 08-19)."
2026-08-18T19:05:57Z,ETH,BUY,1916.02,0.2607,499.46,5.0,stage1_half,2.13,0.42,,open,"Confluence 8/10 Bullish (0/10 Bearish), 2nd consecutive >=7/10 checkpoint (AM 08-18 7/10 armed -> PM 08-18 8/10 confirmed). Weakest structural entry of this wave -- DMA reads mechanically Neutral (price between 50DMA and 200DMA, not golden-cross). Tier C (R=2.13, p=0.42, EV=+1.43%). Staged half of 10% target size at $499.46 notional; second half opens only if confluence holds >=7/10 at next checkpoint (AM 08-19)."
2026-08-18T19:05:57Z,ZEC,BUY,509.37,1.9611,998.93,10.0,stage1_half,2.95,0.45,,open,"Confluence 7/10 Bullish (0/10 Bearish), 2nd consecutive >=7/10 checkpoint (AM 08-18 7/10 armed -> PM 08-18 7/10 confirmed). Cleanest structure of this wave -- golden-cross with wide 200DMA cushion. Tier B (R=2.95, p=0.45, EV=+4.17%). Staged half of 20% target size at $998.93 notional; second half opens only if confluence holds >=7/10 at next checkpoint (AM 08-19)."
2026-08-18T19:05:57Z,MORPHO,BUY,2.131,234.3782,499.46,5.0,stage1_half,2.32,0.45,,open,"Confluence 7/10 Bullish (0/10 Bearish), 2nd consecutive >=7/10 checkpoint (AM 08-18 7/10 armed -> PM 08-18 7/10 confirmed). Strongest OI conviction of this wave (24h+17.6%/7d+29.8%) but most extended (+7.0% above 50DMA). Tier C (R=2.32, p=0.45, EV=+4.18%). Staged half of 10% target size at $499.46 notional; second half opens only if confluence holds >=7/10 at next checkpoint (AM 08-19)."
2026-08-19T07:11:00Z,TRX,SELL,0.3332,1488.3158,495.91,4.97,full_exit,2.15,0.42,-0.15,closed,"Full exit of remaining half. Conviction downgraded Weakening->Failing and thesis Stalled->Broken: 7d OI printed -13.6%, nearly double the prior worst single-checkpoint reading (-7.4% PM 08-18) and the seventh checkpoint of the last eight with a net-negative or decelerating OI print on the exact metric the entry thesis names as its confirmation leg. This is exactly the condition the PM 08-18 red-team pre-committed to treating as a 'strong full-exit candidate' ('if it deteriorates further before the 08-26 interim review') -- it deteriorated further (worse than any prior print), so executing that pre-committed call now rather than waiting out the interim review on a comprehensively failed thesis-test. Invalidation ($0.318) not breached (price $0.3332, ~4.8% headroom) -- this is a thesis-failure exit, not a stop-loss. Realized P&L -$4.09 on this tranche (cost basis $499.99 @ avg entry $0.33595 vs proceeds $495.91); realized R -0.15 vs planned R 2.15. Combined with the 08-16 half-trim (-$7.22), total realized P&L on the TRX hold: -$11.31."
2026-08-19T07:11:00Z,CAKE,SELL,1.54,332.0878,511.42,5.12,cut_half,2.16,0.48,0.32,closed,"Staged-entry non-confirmation: per Section 5 step 9 ('add the second half only if confluence holds >=7/10 at the next checkpoint... no confirmation -> cut the half'), confluence fell to 5/10 (1/10 Bearish) at this, the immediate next trading checkpoint since the PM 08-18 entry (was 8/10 at entry) -- RSI cooled from the entry-day Bullish band to 71.6 (Neutral, upper-overbought edge) and volume-z flipped Bearish (thin conviction on the +2.4% price move since entry) even as price and OI both remain constructive. Rule applied mechanically, not discretionarily. Realized P&L +$11.96 (price rose since entry despite the cut); realized R +0.32 vs planned R 2.16."
2026-08-19T07:11:00Z,ETH,SELL,1915.86,0.2607,499.42,5.00,cut_half,2.13,0.42,-0.00,closed,"Staged-entry non-confirmation: confluence fell to 5/10 (0/10 Bearish) at the immediate next trading checkpoint since PM 08-18 entry (was 8/10 at entry, already the thinnest-structure entry of the wave) -- p7_oi and p2_dma both rolled from Bullish/mixed to Neutral as price stalled essentially flat (-0.01% since entry). No confirmation per Section 5 step 9 -> cut the half. Realized P&L -$0.04 (essentially flat); realized R -0.00 vs planned R 2.13."
